"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-05-31,2975,"Montgomery","MD","Washington",38,422900,-0.000944956295771321,0.0033214709371293,0.0143919405133125,0.0224318274792525,-0.0139934701850165,"2006-05","2006-Q2",486900,-0.131443828301499,"2005-03"
2016-05-31,2347,"Honolulu","HI","Urban Honolulu",39,615500,0.0060477280156914,0.0126686410003291,0.0323716873532372,0.0449190350086703,0.012220637305929,"2016-05","2016-Q2",615500,0,"2016-05"
2016-05-31,3148,"Westchester","NY","New York",40,556200,0.00107991360691145,0.0160759956156376,0.0727097396335583,0.0258359509678872,-0.0113729529468232,"2006-08","2006-Q3",625100,-0.110222364421693,"2004-12"
2016-05-31,2804,"Milwaukee","WI","Milwaukee",41,101600,0.00395256916996047,0.0099403578528827,0.0283400809716599,-0.00369875819185883,-0.0315514188291545,"2006-04","2006-Q2",140300,-0.27583749109052,"2003-02"
2016-05-31,1018,"Fresno","CA","Fresno",42,204800,0.0078740157480315,0.022977022977023,0.0638961038961039,0.070910333365813,-0.0354103435014533,"2006-04","2006-Q2",293800,-0.302927161334241,"2004-08"
2016-05-31,1388,"Shelby","TN","Memphis",43,104200,-0.00191570881226054,0.00288739172281039,0.0698151950718686,0.0193035763561118,-0.0112655045631446,"2006-12","2006-Q4",119800,-0.130217028380634,"2003-04"
2016-05-31,1020,"Fulton","GA","Atlanta",44,221300,0.00682438580527752,0.0288238028823803,0.0917612234829798,0.0701137493396449,-0.000135461605860532,"2007-06","2007-Q2",224100,-0.0124944221329764,"2006-05"
2016-05-31,3102,"Mecklenburg","NC","Charlotte",45,183500,0.00437876299945265,0.0149336283185841,0.0631517960602549,0.0429536780475726,0.0137984166179499,"2016-05","2016-Q2",183500,0,"2016-05"
2016-05-31,1682,"Du Page","IL","Chicago",46,262600,-0.00076103500761035,0.00343905235001911,0.0217898832684825,0.0168936077259405,-0.0183718081902646,"2007-03","2007-Q1",319400,-0.177833437695679,"2004-03"
2016-05-31,2694,"Fairfield","CT","Stamford",47,392100,0.000255102040816327,0.00127681307456588,0.00230061349693252,0.0023629995941512,-0.0231923954306413,"2006-04","2006-Q2",496300,-0.209953657062261,"2003-10"
2016-05-31,2480,"Pinellas","FL","Tampa",48,175800,0.00860585197934595,0.0286717378583967,0.115482233502538,0.081352785317135,-0.0200189892624352,"2006-06","2006-Q2",215200,-0.183085501858736,"2005-04"
2016-05-31,874,"Bergen","NJ","New York",49,432800,0.00371057513914657,0.00979934671021932,0.031704410011919,0.0170594331798177,-0.0154851816607451,"2006-06","2006-Q2",506200,-0.145001975503753,"2004-10"
2016-05-31,1165,"Marion","IN","Indianapolis",50,107100,-0.00464684014869888,0,-0.0670731707317073,0.017502761584262,-0.0117194633368581,"2006-01","2006-Q1",121100,-0.115606936416185,
2016-05-31,324,"Wake","NC","Raleigh",51,234900,0.00599571734475375,0.0221932114882506,0.0581081081081081,0.0398607333824124,0.0203711686769454,"2016-05","2016-Q2",234900,0,"2016-05"
2016-05-31,2337,"Hartford","CT","Hartford",52,208000,0.000962463907603465,0.0101991257892181,0.00970873786407767,-0.00492634806525849,-0.0155534924429196,"2007-07","2007-Q3",246800,-0.157212317666126,"2004-08"
2016-05-31,489,"Duval","FL","Jacksonville",53,143900,0.007703081232493,0.0263908701854494,0.0967987804878049,0.047686115681369,-0.0210969369441572,"2006-11","2006-Q4",183800,-0.217083786724701,"2005-02"
2016-05-31,3246,"Prince Georges","MD","Washington",54,261400,0.0135711516091508,0.0451819272291084,0.0704340704340704,0.0493999249350128,-0.0226786697665196,"2007-05","2007-Q2",340000,-0.231176470588235,"2005-04"
2016-05-31,2815,"New Haven","CT","New Haven",55,214400,-0.00418021365536461,-0.00556586270871985,0.00657276995305164,-0.00450924792064344,-0.0231912835304171,"2006-04","2006-Q2",272100,-0.212054391767732,"2004-02"
2016-05-31,1155,"Macomb","MI","Detroit",56,145900,0.00690131124913734,0.0224246671338472,0.0626365622723962,0.0919065913985726,-0.0129425580283224,"2005-10","2005-Q4",168900,-0.136175251628182,"2000-05"
2016-05-31,204,"Kern","CA","Bakersfield",57,185300,0.0037919826652221,0.0175727622185612,0.056442417331813,0.0854106075972323,-0.0372297189642857,"2006-05","2006-Q2",270800,-0.315731166912851,"2004-12"
2016-05-31,2061,"Ventura","CA","Ventura",58,537800,0.00037202380952381,0.00598578376356154,0.0676990271987294,0.0615234203746802,-0.0160418423965026,"2006-05","2006-Q2",632200,-0.149319835495096,"2004-12"
2016-05-31,2802,"Middlesex","NJ","New York",59,293100,0.00102459016393443,0.00999310820124052,0.0162968099861304,0.00435520425373404,-0.0187012273817996,"2006-08","2006-Q3",354500,-0.173201692524683,"2004-08"
2016-05-31,2314,"Gwinnett","GA","Atlanta",60,183400,0.00163844893500819,0.0155038759689922,0.0625724217844728,0.0644600412355647,-0.00210199267547917,"2006-12","2006-Q4",190300,-0.0362585391487126,"2006-01"
2016-05-31,3227,"San Francisco","CA","San Francisco",61,1134000,-0.0021997360316762,0.000705965407695023,0.0736602916114372,0.108840425236321,0.0374406868513013,"2016-03","2016-Q1",1137500,-0.00307692307692308,"2016-03"
2016-05-31,2626,"Baltimore","MD","Baltimore",62,226800,-0.00132100396301189,0.00088261253309797,0.0309090909090909,0.0142586275939642,-0.0142487401494007,"2007-03","2007-Q1",272000,-0.166176470588235,"2005-07"
2016-05-31,2322,"Hamilton","OH","Cincinnati",63,124600,-0.0032,-0.00479233226837061,0.0263591433278418,0.0179410732113328,-0.00878927680656272,"2007-01","2007-Q1",136200,-0.0851688693098385,"2003-01"
2016-05-31,1690,"El Paso","TX","El Paso",64,110100,0,0.00731930466605672,0,-0.00305981260081178,0.00727657968686102,"2008-01","2008-Q1",119900,-0.0817347789824854,"2006-10"
2016-05-31,2981,"Montgomery","PA","Philadelphia",65,277000,0.00108420672208168,0.0102115244347192,0.0266864343958488,0.00943072861383087,-0.00603990092329965,"2006-08","2006-Q3",294900,-0.0606985418786029,"2005-06"
2016-05-31,2879,"Worcester","MA","Worcester",66,241900,0.00165631469979296,-0.000826104915324246,0.0364181662382176,0.0211175197284073,-0.0147661024674691,"2005-12","2005-Q4",282800,-0.144625176803395,"2003-11"
2016-05-31,1322,"Pierce","WA","Seattle",67,265300,0.00797872340425532,0.0231392209795604,0.0881870385561936,0.0456789705260403,-0.00216031269447792,"2007-04","2007-Q2",286700,-0.0746424834321591,"2006-03"
2016-05-31,504,"Essex","NJ","New York",68,321700,-0.0107626076260763,-0.0192073170731707,0.0307593719961551,0.0191435208602715,-0.0234606780360098,"2007-02","2007-Q1",413400,-0.221819061441703,"2004-04"
2016-05-31,951,"Collin","TX","Dallas-Fort Worth",69,289800,0.00485436893203883,0.0218617771509168,0.1056848531095,0.0843595418906069,0.0392478795384901,"2016-05","2016-Q2",289800,0,"2016-05"
2016-05-31,1223,"Monroe","NY","Rochester",70,131300,-0.00076103500761035,0.00229007633587786,0.0249804839968774,0.0126522451020581,0.0116843259073087,"2016-03","2016-Q1",131500,-0.00152091254752852,"2016-03"
2016-05-31,503,"Essex","MA","Boston",71,369400,0.00135538086202223,0.00298669562856367,0.0338650993562832,0.0393298448099333,-0.000405159573724112,"2005-10","2005-Q4",379200,-0.0258438818565401,"2005-02"
2016-05-31,2742,"Jefferson","KY","Louisville/Jefferson County",72,139400,0.00577200577200577,0.0167760758570387,0.0449775112443778,0.0213934005456284,0.0103182855391639,"2016-05","2016-Q2",139400,0,"2016-05"
2016-05-31,2810,"Multnomah","OR","Portland",73,343400,0.00970302852102323,0.0337146297411198,0.179663345929234,0.0909660785014497,0.0265656962141174,"2016-05","2016-Q2",343400,0,"2016-05"
2016-05-31,2045,"Suffolk","MA","Boston",74,455500,0.00330396475770925,0.0142507236695613,0.0647498831229547,0.0711006544267316,0.0245218699888181,"2016-05","2016-Q2",455500,0,"2016-05"
2016-05-31,2463,"Oklahoma","OK","Oklahoma City",75,123500,0.00243506493506494,0.0106382978723404,0.0573630136986301,0.0258585506575681,0.0215359186139927,"2016-05","2016-Q2",123500,0,"2016-05"
2016-05-31,2842,"San Mateo","CA","San Francisco",76,1069800,0.00696536144578313,0.0215813598166539,0.113447127393838,0.114235144386402,0.0293079462669532,"2016-05","2016-Q2",1069800,0,"2016-05"
2016-05-31,2847,"Snohomish","WA","Seattle",77,358400,0.00900900900900901,0.0307736554501007,0.108225108225108,0.0717963607780177,0.00874933797331812,"2016-05","2016-Q2",358400,0,"2016-05"
2016-05-31,220,"Lake","IL","Chicago",78,228200,0.00572939620978405,0.0160284951024043,0.0344514959202176,0.0165683534970655,-0.0220500881256194,"2007-04","2007-Q2",287900,-0.207363667940257,"2002-07"
2016-05-31,984,"Dekalb","GA","Atlanta",79,149800,0.00536912751677852,0.0211315610088616,0.0934306569343066,0.0580024514290949,-0.013724291826848,"2006-11","2006-Q4",173800,-0.138089758342923,"2001-08"
2016-05-31,135,"Cobb","GA","Atlanta",80,208600,0.00433317284545017,0.0140982012639767,0.0915750915750916,0.0538234380438136,0.00543207623924569,"2016-05","2016-Q2",208600,0,"2016-05"
2016-05-31,3134,"San Joaquin","CA","Stockton",81,282200,0.0103831006086645,0.0355963302752294,0.113654301499605,0.126588524602559,-0.036665053548424,"2006-04","2006-Q2",411000,-0.31338199513382,"2004-06"
2016-05-31,330,"Will","IL","Chicago",82,192600,0.000519480519480519,0.00521920668058455,0.0536105032822757,0.0186532009973726,-0.0151652983027638,"2006-11","2006-Q4",227000,-0.151541850220264,"2004-06"
2016-05-31,1804,"Jackson","MO","Kansas City",83,107900,0.00746965452847806,0.0188857412653447,0.0898989898989899,0.00797216119502808,,"2009-06","2009-Q2",117400,-0.0809199318568995,
2016-05-31,1948,"Norfolk","MA","Boston",84,428400,-0.0013986013986014,-0.00626304801670146,0.0528385352666503,0.0413720840342016,0.00688285788197907,"2016-02","2016-Q1",431100,-0.00626304801670146,"2016-01"
2016-05-31,988,"Denton","TX","Dallas-Fort Worth",85,243900,0.00411692054343351,0.0166736140058358,0.0996393146979261,0.0725998407914799,0.0369384911849029,"2016-05","2016-Q2",243900,0,"2016-05"
2016-05-31,2889,"Bernalillo","NM","Albuquerque",86,171800,0.0005824111822947,0.00762463343108504,0.0256716417910448,0.00175542333108991,-0.00325863900996926,"2007-11","2007-Q4",200000,-0.141,"2006-03"
2016-05-31,2732,"Jefferson","AL","Birmingham",87,109800,0.000911577028258888,0.00919117647058824,0.0680933852140078,0.00612177069952646,-0.00426958680744416,"2007-10","2007-Q4",117400,-0.0647359454855196,"2005-11"
2016-05-31,1106,"Hudson","NJ","New York",88,348300,0.00490478938257357,0.0127944169816807,0.0446910617876425,0.0399834432281008,-0.0118257867562498,"2007-02","2007-Q1",408300,-0.14695077149155,"2005-05"
2016-05-31,2441,"Monmouth","NJ","New York",89,376300,-0.00026567481402763,0.000797872340425532,0.0208898534997287,0.0152351594855602,-0.0150460474872227,"2006-04","2006-Q2",438200,-0.141259698767686,"2004-09"
2016-05-31,2243,"Davidson","TN","Nashville",90,202700,0.00695479384003974,0.0263291139240506,0.13684800897364,0.0673869395535389,0.0304297326671696,"2016-05","2016-Q2",202700,0,"2016-05"
2016-05-31,3001,"Providence","RI","Providence",91,203100,0.00395452298566485,0.0175350701402806,0.0791710945802338,0.0203929498710331,-0.025847266922926,"2005-12","2005-Q4",264500,-0.232136105860113,"2003-08"
2016-05-31,414,"Bucks","PA","Philadelphia",92,289000,0.00277585010409438,0.0087260034904014,0.0119047619047619,0.00699566565737708,-0.0100758067189873,"2007-03","2007-Q1",320900,-0.099407915238392,"2005-03"
2016-05-31,1689,"El Paso","CO","Colorado Springs",93,233100,0.00647668393782383,0.0228170250109697,0.072710538426139,0.041736148417189,0.0143226237530303,"2016-05","2016-Q2",233100,0,"2016-05"
2016-05-31,3236,"Baltimore City","MD","Baltimore",94,113900,-0.00175284837861525,-0.00087719298245614,0.0261261261261261,0.0108819823439177,0.0020420642296044,"2010-02","2010-Q1",129500,-0.12046332046332,"2006-07"
2016-05-31,80,"Lee","FL","Fort Myers",95,210200,0.00718735026353618,0.0228710462287105,0.126473740621651,0.101893667138427,-0.0319032369880459,"2006-04","2006-Q2",291800,-0.279643591501028,"2005-02"
2016-05-31,757,"Tulsa","OK","Tulsa",96,126700,0.00316706254948535,0.00956175298804781,0.0710059171597633,0.0281115082528816,0.0246669691271031,"2016-05","2016-Q2",126700,0,"2016-05"
2016-05-31,201,"Kent","MI","Grand Rapids",97,154700,0.00716145833333333,0.0217965653896962,0.0810621942697414,0.0609208828414023,0.00684413980810383,"2016-05","2016-Q2",154700,0,"2016-05"
2016-05-31,285,"Polk","FL","Lakeland",98,141400,0.00497512437810945,0.0114449213161659,0.0777439024390244,0.0717410905781319,-0.0282895995780822,"2006-10","2006-Q4",194100,-0.2715095311695,"2005-05"
2016-05-31,3289,"District of Columbia","DC","Washington",99,511700,0.00333333333333333,0.00569968553459119,0.0640465793304221,0.0722637968161288,0.0257308835441765,"2016-05","2016-Q2",511700,0,"2016-05"
2016-05-31,989,"Denver","CO","Denver",100,340900,0.00649542367877177,0.0203531876683628,0.102879327078615,0.103221049056555,0.0426560452643636,"2016-05","2016-Q2",340900,0,"2016-05"
2016-05-31,659,"Ocean","NJ","New York",101,263300,0.00381242851696531,0.00803981623277182,0.0325490196078431,0.00650562124404797,-0.0232112196187781,"2006-09","2006-Q3",334200,-0.212148414123279,"2004-05"
2016-05-31,2127,"Arapahoe","CO","Denver",102,309900,0.0101043024771838,0.0368016058882569,0.141016200294551,0.0986598270607173,0.0354220893959878,"2016-05","2016-Q2",309900,0,"2016-05"
2016-05-31,2251,"Delaware","PA","Philadelphia",103,185400,-0.00908605024051309,-0.00961538461538462,0.0114566284779051,-0.00655724927552115,-0.0173668725386399,"2007-11","2007-Q4",222900,-0.168236877523553,"2004-10"
2016-05-31,1558,"Bristol","MA","Providence",104,270700,0.00482553823311062,0.0246025738077214,0.0363705972434916,0.0257378961656674,-0.0141936140221386,"2005-09","2005-Q3",316600,-0.144977890082123,"2003-12"
2016-05-31,1822,"Johnson","KS","Kansas City",105,228000,0.00529100529100529,0.021505376344086,0.0540915395284327,0.03604900017142,0.0163846732974342,"2016-05","2016-Q2",228000,0,"2016-05"
2016-05-31,1556,"Brevard","FL","Melbourne",106,162700,0.0030826140567201,0.0124455507156192,0.0971004720161834,0.0796704157645554,-0.031899368355041,"2006-02","2006-Q1",227300,-0.284205895292565,"2004-08"
2016-05-31,1404,"Summit","OH","Akron",107,119300,0.00167926112510495,0.0050547598989048,0.024914089347079,0.0125278236864697,-0.00537018989255655,"2007-03","2007-Q1",128600,-0.0723172628304821,"2002-10"
2016-05-31,3152,"Anne Arundel","MD","Baltimore",108,322900,0,0.00341827221876942,0.00497976968565204,0.015634606197533,-0.0120994478361901,"2006-08","2006-Q3",365100,-0.115584771295535,"2005-06"
2016-05-31,771,"Union","NJ","New York",109,310800,0.00290416263310745,0.0166830225711482,0.0746887966804979,0.0116581612754372,-0.024988940284332,"2006-08","2006-Q3",404600,-0.231833910034602,"2004-05"
2016-05-31,2980,"Montgomery","OH","Dayton",110,88100,0.00113636363636364,0.00227531285551763,0.034037558685446,0.00483670662328994,-0.0188805839037975,"2008-02","2008-Q1",108600,-0.188766114180479,"1999-05"
2016-05-31,2734,"Jefferson","CO","Denver",111,355400,0.0065137354856981,0.0239124171708441,0.13764404609475,0.0915978553566461,0.036261236293067,"2016-05","2016-Q2",355400,0,"2016-05"
2016-05-31,3069,"Washington","OR","Portland",112,345600,0.00905109489051095,0.032258064516129,0.147410358565737,0.0789100842065409,0.0185409286577554,"2016-05","2016-Q2",345600,0,"2016-05"
