"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-05-31,20859,"Tulsa","OK","Tulsa","Tulsa",39,107300,0.00374181478016838,0.0160984848484848,0.0816532258064516,0.0252976184308153,0.0169491636628898,"2016-05","2016-Q2",107300,0,"2016-05"
2016-05-31,24115,"Cleveland","OH","Cleveland","Cuyahoga",40,51200,0.0118577075098814,0.0078740157480315,-0.017274472168906,-0.0145747812716329,-0.0497626583217876,"2006-03","2006-Q1",85900,-0.40395809080326,
2016-05-31,18615,"Honolulu","HI","Urban Honolulu","Honolulu",41,625300,0.00385294589821801,0.00449799196787149,0.0121398510844934,0.0399397170542395,0.0117064590355824,"2016-05","2016-Q2",625300,0,"2016-05"
2016-05-31,5983,"Minneapolis","MN","Minneapolis-St Paul","Hennepin",42,216300,0.00464468183929401,0.0145403377110694,0.0644685039370079,0.051214451876169,-0.00228268211942673,"2006-04","2006-Q2",221700,-0.0243572395128552,"2005-04"
2016-05-31,19594,"New Orleans","LA","New Orleans","Orleans",43,168200,0.00899820035992801,0.0249847653869592,0.0466708151835719,0.0372359750313163,,"2015-11","2015-Q4",169500,-0.00766961651917404,"2015-11"
2016-05-31,50763,"Arlington","TX","Dallas-Fort Worth","Tarrant",44,161600,0.00685358255451713,0.0253807106598985,0.10989010989011,0.0597489894680696,0.0211366560571089,"2016-05","2016-Q2",161600,0,"2016-05"
2016-05-31,54047,"Raleigh","NC","Raleigh","Wake",45,205600,0.00390625,0.0183259039128281,0.0548999486916367,0.0324005775953815,0.0167693213572344,"2016-05","2016-Q2",205600,0,"2016-05"
2016-05-31,7929,"Wichita","KS","Wichita","Sedgwick",46,111300,0.000899280575539568,0.00723981900452489,0.0145852324521422,0.0180039831411611,0.0192265630295489,"2016-05","2016-Q2",111300,0,"2016-05"
2016-05-31,41176,"Tampa","FL","Tampa","Hillsborough",47,160300,0.00501567398119122,0.0236270753512133,0.12333566923616,0.102523067598105,-0.022128216945514,"2006-10","2006-Q4",206300,-0.222976248182259,"2005-06"
2016-05-31,16764,"Anaheim","CA","Los Angeles-Long Beach-Anaheim","Orange",48,533200,0.00565824217276499,0.0177514792899408,0.0786971474812867,0.0823286095113416,-0.0136567727973195,"2006-07","2006-Q3",612800,-0.129895561357702,"2005-04"
2016-05-31,47568,"Santa Ana","CA","Los Angeles-Long Beach-Anaheim","Orange",49,466300,0.00128838307923556,0.0106198526224534,0.0724471021159154,0.0897577538643024,-0.0261535802172024,"2007-01","2007-Q1",614700,-0.241418578168212,"2004-11"
2016-05-31,16846,"Aurora","CO","Denver","Arapahoe",50,257400,0.00980776775205963,0.0366492146596859,0.1599819738621,0.12023890200993,0.0332443926411237,"2016-05","2016-Q2",257400,0,"2016-05"
2016-05-31,6891,"Saint Louis","MO","St. Louis","Saint Louis City",51,107400,0.00467726847521048,0.021883920076118,0.111801242236025,0.0111652001261702,-0.0161571795104799,"2007-04","2007-Q2",131700,-0.184510250569476,"2003-12"
2016-05-31,4099,"Cincinnati","OH","Cincinnati","Hamilton",52,111600,-0.000895255147717099,-0.00268096514745308,0.0429906542056075,0.0171571724157171,-0.00887042306242247,"2007-02","2007-Q1",122800,-0.0912052117263844,"2003-03"
2016-05-31,26529,"Pittsburgh","PA","Pittsburgh","Allegheny",53,111100,0.00725294650951949,0.0220791168353266,0.0870841487279843,0.0557622511689135,0.0409122326676488,"2016-05","2016-Q2",111100,0,"2016-05"
2016-05-31,47401,"Riverside","CA","Riverside","Riverside",54,329700,0.00887392900856793,0.0296689569019363,0.101938502673797,0.105916479661345,-0.0230524375758259,"2006-09","2006-Q3",419700,-0.214438884917798,"2005-02"
2016-05-31,12562,"Marietta","GA","Atlanta","Cobb",55,238600,0.00378628523348759,0.0131634819532909,0.0796380090497738,0.0577502351165649,0.0111298209561983,"2016-05","2016-Q2",238600,0,"2016-05"
2016-05-31,23482,"Anchorage","AK","Anchorage","Anchorage",56,294900,0.00135823429541596,0.00374404356705242,0.0271682340647858,0.0251169369634303,0.00331498822077592,"2007-09","2007-Q3",302000,-0.0235099337748344,"2006-09"
